BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
78:8A:20:24:4C:57,2023-04-22 21:01:12,2023-04-22 22:57:13,1,10,WPA2, ,PSK,-72, ,0,0.0.0.0,13,SZA-BORDER-AP, ,47.510764,22.469132
7E:8A:20:25:4C:57,2023-04-22 21:05:50,2023-04-22 22:57:33,48,60,WPA2, ,PSK,-82, ,0,0.0.0.0,17,7E8A20254C57, ,47.510764,22.469132
00:04:56:F6:40:D9,2023-04-22 21:16:56,2023-04-22 22:57:11,128,0,, ,,-75, ,0,0.0.0.0,17,000456F640D9, ,47.510764,22.469132
78:8A:20:24:4C:81,2023-04-22 22:57:56,2023-04-22 22:57:56,1,10,WPA2, ,PSK,-80, ,0,0.0.0.0,13,SZA-BORDER-AP, ,47.510764,22.469132
90:9A:4A:CA:D3:08,2023-04-22 21:04:14,2023-04-22 22:58:28,2,10,WPA2, ,PSK,-60, ,0,0.0.0.0,12,TP-Link_BDA4, ,47.510764,22.469132
00:54:AF:77:C8:B0,2023-04-22 22:57:35,2023-04-22 22:58:07,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,11,HotspotC8B0, ,47.510764,22.469132
90:F8:91:23:23:E5,2023-04-22 21:00:40,2023-04-22 22:59:01,11,10,WPA2, ,PSK,-54, ,0,0.0.0.0,14,DIGI-24-2323E5, ,47.510764,22.469132
EC:23:3D:94:26:20,2023-04-22 21:12:45,2023-04-22 22:59:23,10,10,WPA2, ,PSK,-56, ,0,0.0.0.0,13,Clicknet-2617, ,47.510764,22.469132
7E:8A:20:24:4D:5D,2023-04-22 21:00:29,2023-04-22 22:59:49,1,110,WPA2, ,PSK,-50, ,0,0.0.0.0,17,7E8A20244D5D, ,47.5107639999999,22.4691319999999
D4:B7:09:E3:DE:F2,2023-04-22 21:00:29,2023-04-22 23:00:05,3,10,WPA2, ,PSK,-28, ,508,0.0.0.0,11,DIGI_e3def2, ,47.5107639999996,22.4691319999998
90:55:DE:03:10:88,2023-04-22 21:00:37,2023-04-22 23:00:00,1,10,WPA2, ,PSK,-34, ,2992,0.0.0.0,11,DIGI_031088, ,47.5107639999995,22.4691319999999
90:E8:68:E6:07:E7,2023-04-22 21:00:40,2023-04-22 22:59:54,1,10,WPA2, ,PSK,-56, ,0,0.0.0.0,17,CASWIFI_214127272, ,47.510764,22.469132
BC:C0:0F:63:E7:88,2023-04-22 21:00:48,2023-04-22 22:59:57,8,50,WPA2, ,PSK,-42, ,24,0.0.0.0,11,DIGI_63e788, ,47.5107639999998,22.4691319999996
78:8A:20:24:4C:E0,2023-04-22 21:01:39,2023-04-22 22:59:38,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,SZA-BORDER-AP, ,47.5107639999999,22.4691319999998
