BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
10:FE:ED:A2:A8:52,2023-05-10 03:02:59,2023-05-10 04:38:58,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,UniqueDepozit, ,45.250199,28.019253
44:27:F3:34:68:9E,2023-05-10 04:38:58,2023-05-10 04:39:09,11,10,WPA2, ,PSK,-74, ,0,0.0.0.0,20,70mai_Pro Plus+_689e, ,45.250199,28.019253
CC:4B:73:04:58:6F,2023-05-10 04:38:58,2023-05-10 04:39:01,36,60,WPA2, ,PSK,-76, ,0,0.0.0.0,20,5G_VIOFO_A129_04586f, ,45.250199,28.019253
6A:0B:B3:3E:DB:1E,2023-05-10 04:39:41,2023-05-10 04:42:12,11,10,WPA2, ,PSK,-36, ,0,0.0.0.0,13,AndroidAP7104, ,45.250199,28.019253
44:27:F3:14:02:E5,2023-05-10 04:41:58,2023-05-10 04:42:04,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,14,70mai_d05_02e5, ,45.250199,28.019253
02:47:CC:92:5C:00,2023-05-10 04:42:18,2023-05-10 04:42:45,13,10,WPA2, ,PSK,-78, ,0,0.0.0.0,13,AndroidAP58EF, ,0,90
58:B3:FC:46:5D:B3,2023-05-10 04:37:31,2023-05-10 04:43:30,1,10,WPA2, ,PSK,-28, ,0,0.0.0.0,14,70mai_d01_5DB3, ,45.250199,28.019253
00:1E:42:46:19:18,2023-05-10 04:43:44,2023-05-10 04:43:44,11,10,WPA2, ,PSK,-74, ,0,0.0.0.0,11,RUT240_1918, ,45.250199,28.019253
98:DA:C4:B1:BA:20,2023-05-10 03:00:43,2023-05-10 04:44:00,11,10,WPA2, ,PSK,-56, ,0,0.0.0.0,11,Oltisorul 2, ,45.2501989999999,28.0192529999999
34:75:63:71:2C:7D,2023-05-10 04:44:00,2023-05-10 04:44:00,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,14,70mai_d06_2c7d, ,45.250199,28.019253
44:27:F3:5B:EC:DC,2023-05-10 04:45:24,2023-05-10 04:45:24,11,10,WPA2, ,PSK,-62, ,0,0.0.0.0,20,70mai_Pro Plus+_ecdc, ,45.250199,28.019253
FC:EC:DA:CC:6A:DC,2023-05-10 04:40:52,2023-05-10 04:47:21,36,0,, ,,0, ,0,0.0.0.0,17,FCECDACC6ADC, ,0,0
38:83:9A:94:0E:14,2023-05-10 04:49:49,2023-05-10 04:49:49,1,10,WPA2, ,PSK,-52, ,0,0.0.0.0,14,70mai_d06_0e14, ,45.250199,28.019253
B8:69:F4:E5:3E:E5,2023-05-10 03:08:39,2023-05-10 04:50:43,3,10,Open, ,,-22, ,1,0.0.0.0,15,MikroTik-E53EE5, ,45.2501989999999,28.0192529999999
B2:88:09:AC:15:74,2023-05-10 04:49:17,2023-05-10 04:50:38,4,10,WPA2, ,PSK,-56, ,0,0.0.0.0,17,B28809AC1574, ,45.250199,28.019253
