BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
7A:48:B8:12:0A:F5,2023-05-09 03:33:07,2023-05-09 03:33:07,3,,, ,,, ,0,0.0.0.0,17,7A48B8120AF5, ,0,0
64:7C:34:A5:3C:F9,2023-05-09 03:49:04,2023-05-09 03:49:04,11,10,WPA2, ,PSK,-84, ,0,0.0.0.0,10,UPC1085062, ,44.278448,26.049546
6A:A7:B9:22:0B:2C,2023-05-09 03:04:28,2023-05-09 03:52:06,9,10,WPA2, ,PSK,-80, ,0,0.0.0.0,12,TP-Link_0B2C, ,44.278448,26.049546
2C:05:47:65:7E:91,2023-05-09 03:55:30,2023-05-09 03:55:57,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,15,70mai_M300_7e91, ,44.278448,26.049546
BA:D5:7D:79:69:5E,2023-05-09 04:01:47,2023-05-09 04:01:47,6,10,WPA2, ,PSK,-82, ,0,0.0.0.0,9,GalaxiA12, ,44.278448,26.049546
C6:C9:E3:27:AE:12,2023-05-09 03:06:52,2023-05-09 04:05:16,2,10,WPA2, ,PSK,-80, ,0,0.0.0.0,5,BRC-G, ,44.278448,26.049546
CA:C9:E3:27:AE:12,2023-05-09 03:06:31,2023-05-09 04:19:14,2,10,WPA2, ,PSK,-80, ,0,0.0.0.0,17,CAC9E327AE12, ,44.278448,26.049546
EA:C3:2A:F1:86:7A,2023-05-09 03:06:32,2023-05-09 04:20:19,8,10,WPA2, ,PSK,-82, ,0,0.0.0.0,17,EAC32AF1867A, ,44.278448,26.049546
C0:C9:E3:53:C8:FE,2023-05-09 03:38:13,2023-05-09 04:20:51,4,10,WPA2, ,PSK,-84, ,0,0.0.0.0,5,Alex3, ,44.278448,26.049546
72:5A:B0:54:8B:48,2023-05-09 04:25:25,2023-05-09 04:25:25,9,10,WPA2, ,PSK,-86, ,0,0.0.0.0,12,TP-Link_8B50, ,44.278448,26.049546
AC:84:C6:55:A4:A1,2023-05-09 03:07:58,2023-05-09 04:27:28,11,10,WPA2, ,PSK,-82, ,0,0.0.0.0,17,AC84C655A4A1, ,44.278448,26.049546
6A:A7:B9:22:0B:2D,2023-05-09 04:27:44,2023-05-09 04:27:44,7,,, ,,, ,0,0.0.0.0,17,6AA7B9220B2D, ,0,0
42:37:86:1F:1A:48,2023-05-09 04:17:48,2023-05-09 04:28:32,2,10,WPA2, ,PSK,-84, ,0,0.0.0.0,15,NETGEAR24-Guest, ,44.278448,26.049546
68:58:11:40:91:C8,2023-05-09 04:17:37,2023-05-09 04:29:04,1,10,WPA2, ,PSK,-84, ,0,0.0.0.0,11,DIGI_4091c8, ,44.278448,26.049546
D0:21:F9:24:BC:B9,2023-05-09 04:29:53,2023-05-09 04:29:53,11,10,WPA2, ,PSK,-86, ,0,0.0.0.0,13,notariat_nica, ,44.278448,26.049546
D6:21:F9:24:BC:B9,2023-05-09 04:29:53,2023-05-09 04:29:53,11,10,WPA2, ,PSK,-84, ,0,0.0.0.0,11,Nica-Guests, ,44.278448,26.049546
4C:F9:5D:0A:48:74,2023-05-09 03:22:07,2023-05-09 04:34:27,13,10,WPA2, ,PSK,-84, ,0,0.0.0.0,4,Boom, ,44.278448,26.049546
5A:C7:72:34:3C:81,2023-05-09 04:09:29,2023-05-09 04:36:04,11,20,WPA2, ,PSK,-42, ,98,0.0.0.0,11,Daniel'Brad, ,44.2784479999999,26.0495459999999
94:E4:BA:A2:BA:6B,2023-05-09 03:33:02,2023-05-09 04:36:36,10,10,WPA2, ,PSK,-80, ,0,0.0.0.0,17,94E4BAA2BA6B, ,44.278448,26.049546
