BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
6C:A4:D1:41:D4:F8,2023-05-10 03:04:43,2023-05-10 03:49:41,1,10,WPA2, ,PSK,-74, ,2,0.0.0.0,11,DIGI_41d4f8, ,44.033434,24.234665
FC:A6:CD:47:11:10,2023-05-10 03:05:05,2023-05-10 03:49:41,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,11,DIGI_471110, ,44.033434,24.234665
90:5C:44:A2:D8:38,2023-05-10 03:01:16,2023-05-10 03:50:51,11,10,WPA2, ,PSK,-78, ,0,0.0.0.0,10,UPC74846DA, ,44.033434,24.234665
B4:B0:24:2C:06:34,2023-05-10 03:04:43,2023-05-10 03:51:06,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,12,TP-Link_0634, ,44.033434,24.234665
E4:CA:12:F6:55:E4,2023-05-10 03:00:49,2023-05-10 03:51:54,2,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,DIGI-02313582, ,44.033434,24.234665
CC:50:0A:8D:E0:E0,2023-05-10 03:00:54,2023-05-10 03:52:15,5,10,WPA2, ,PSK,-60, ,2,0.0.0.0,11,DIGI_8de0e0, ,44.033434,24.234665
AC:22:05:57:2D:F2,2023-05-10 03:01:58,2023-05-10 03:52:36,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,10,UPCDD833E8, ,44.033434,24.234665
88:E3:AB:A3:16:98,2023-05-10 03:04:54,2023-05-10 03:52:42,2,10,WPA2, ,PSK,-56, ,2,0.0.0.0,13,Clicknet-168F, ,44.033434,24.234665
E2:37:BF:07:CE:16,2023-05-10 03:00:49,2023-05-10 03:52:52,1,60,WPA2, ,PSK,-59, ,0,0.0.0.0,16,DIRECT-FC-BRAVIA, ,44.0334339999999,24.2346649999999
FC:A6:CD:41:84:08,2023-05-10 03:03:23,2023-05-10 03:54:02,5,10,WPA2, ,PSK,-56, ,1,0.0.0.0,11,DIGI_418408, ,44.033434,24.234665
40:AA:56:8B:BD:73,2023-05-10 03:10:50,2023-05-10 03:54:46,7,10,WPA2, ,PSK,-78, ,0,0.0.0.0,12,IOT30210hr9p, ,44.033434,24.234665
78:45:58:71:36:88,2023-05-10 03:01:00,2023-05-10 03:56:28,13,10,Open, ,,-54, ,0,0.0.0.0,7,WIFI4EU, ,44.033434,24.2346650000001
FC:A6:CD:3F:96:08,2023-05-10 03:01:05,2023-05-10 03:56:11,1,10,WPA2, ,PSK,-50, ,10,0.0.0.0,11,DIGI_3f9608, ,44.033434,24.234665
38:43:7D:3A:70:CC,2023-05-10 03:01:16,2023-05-10 03:55:50,11,10,WPA2, ,PSK,-52, ,0,0.0.0.0,13,Vodafone-AFFE, ,44.033434,24.234665
